claim_id,statement,subject_id,source,evidence_type,confidence,public_page_location,audit_status,notes
claim-gary-partis-path,"Gary Partis moved from BASIC into BBC Micro/6502 commercial programming and external publisher relationships.",gary-partis,"stairway-gary-partis-profile; bbcmicro-doctor-who",contemporary profile plus game archive,Well supported,People/practice cards,public-ok,"Not evidence of Tynesoft employment."
claim-gary-partis-tynesoft,"Gary Partis was at or for Tynesoft.",gary-partis,"supplied-lineage-poster",incoming research lead,Unconfirmed,Timeline supplied lead / people data,needs-correction,"Treat as author/title-credit lead only until title credits or testimony prove the relationship."
claim-kevin-blake-freelance,"Kevin Blake worked with Tynesoft as self-employed/freelance contributor rather than as Tynesoft employee.",kevin-blake,"stairway-kblake-portfolio; stairway-kblake-mini-profile",first-person portfolio plus contemporary mini-profile,Strongly supported,People/practice cards and lineage view,public-ok,"Useful guardrail against employment inference."
claim-dave-croft-credits,"Dave Croft is associated with Tynesoft sports titles including Winter Olympics, Ian Botham's Test Match and Commonwealth Games.",dave-croft,"stairway-dcroft-mini-profile; stairway-kblake-portfolio",contemporary mini-profile plus first-person corroboration,Strongly supported,People/practice data,public-ok,"Employment remains unconfirmed."
claim-reflections-early,"Early Reflections should be presented through BBC/Electron work and Superior relationships before later Driver/Ubisoft history.",reflections,"stairway-edmondson-chamberlain-profile; supplied-lineage-poster; chroniclelive-2019; invest-newcastle-2019",contemporary profile plus regional press,Well supported,Reflections case study,needs-public-source-upgrade,"Public assets currently cite modern press and poster; add contemporary Stairway profile to public source data in a later content-safe pass."
claim-reflections-superior,"Early Reflections titles are connected to Superior as publisher.",reflections,"stairway-edmondson-chamberlain-profile; supplied-lineage-poster",contemporary profile plus supplied lead,Well supported,Lineage view,needs-public-source-upgrade,"Current relationship data uses poster only; improve source before treating as settled in public."
claim-peter-johnson-superior,"Peter Johnson belongs in the Superior Software orbit.",peter-johnson,"stairway-pjohnson-profile",contemporary profile,Well supported,Lineage/people data,needs-public-source-upgrade,"Current public data marks this as open poster lead; better source is now catalogued."
claim-peter-johnson-rage,"Peter Johnson later held a Rage Newcastle studio-head role.",peter-johnson,"stairway-pjohnson-update",self-authored retrospective update,Probable,Future career path data,research-lead,"Needs independent corroboration before public career timeline."
claim-tynesoft-zeppelin,"Tynesoft-to-Zeppelin is staff/founder heritage, not proven legal succession.",zeppelin-games,"companies-house-eutechnyx; supplied-lineage-poster",official record plus supplied lead,Approximate,Lineage view,public-ok-with-caveat,"Companies House supports later name-chain only."
claim-brian-jobling-zeppelin,"Brian Jobling's precise Tynesoft link and Zeppelin founding story are unresolved.",brian-jobling,"supplied-lineage-poster; companies-house-eutechnyx",incoming lead plus company record,Unconfirmed,People data / lineage view,research-lead,"Needs direct confirmation or contemporary business record."
claim-flair-post-tynesoft,"Flair is a post-Tynesoft staff/founder heritage lead, not legal continuation.",flair-software,"stairway-kblake-portfolio; supplied-lineage-poster",first-person recollection plus supplied lead,First-person recollection,Lineage view,public-ok-with-caveat,"Keep dashed/staff-heritage rendering."
claim-teesside-separate,"Teesside should be researched as a separate regional orbit rather than collapsed into Newcastle/Tyneside.",event-teesside-orbit,"supplied-lineage-poster",incoming research lead,Approximate,Teesside case study and regional map,needs-citation-upgrade,"Replace poster-only Optimus/Iguana/Acclaim details with official records and trade press."
claim-iguana-acclaim,"Iguana UK became or was renamed Acclaim Studios Teesside.",iguana-uk,"supplied-lineage-poster",incoming research lead,Unconfirmed,Lineage view,needs-correction,"Current relationship style is solid despite weak support; later pass should downgrade until official evidence is added."
claim-pitbull-midway,"Pitbull Syndicate was acquired into Midway Studios Newcastle.",pitbull-syndicate,"supplied-lineage-poster",incoming research lead,Unconfirmed,Lineage view,needs-citation-upgrade,"Solid acquisition line needs official or trade-press citation."
claim-ccp-sumo,"CCP Newcastle to Sumo Newcastle is a later acquisition lead.",ccp-newcastle,"supplied-lineage-poster",incoming research lead,Unconfirmed,Lineage view,needs-citation-upgrade,"Solid acquisition line needs official or trade-press citation."
claim-modern-sector,"Modern North East examples such as Atomhawk, Ubisoft Reflections and People Can Fly Gateshead are epilogue evidence, not proof of one uninterrupted lineage.",event-modern-sector,"invest-newcastle-2019; chroniclelive-2019",regional press/economic development article,Well supported,The Lines Continue,public-ok,"Keep as epilogue."
claim-game-lab-bridge,"Newcastle's Game Technology Lab bridges regional skills, teaching, industry relationships and the later university story.",event-game-lab-bridge,"ncl-graham-profile; graham-personal-site; labs-to-riches-booklet",institutional profile plus supplied PDF,Well supported,Bridge to Phase 1,public-ok,"Supplied PDF cited by title only; no private path or Drive ID."
