Credit_Record_ID,Person,Person_ID,Game_Record_ID,Game Title,Release_ID,Platform / Release,Role,Role as printed,Original or conversion,Employment status,Evidence status,Review status,Source system,Source URL,Source item ID,Confidence,Notes
credit:source-item-sinclair-user-050-https-sinclairuser-com-050-batman-htm:person-s:programmer,s,person:s,game:batman,Batman,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/050/batman.htm,source-item:sinclair-user:050:https-sinclairuser-com-050-batman-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-050-https-sinclairuser-com-050-nemesis-htm:person-s:programmer,s,person:s,game:nemesis,Nemesis                                                        @,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/050/nemesis.htm,source-item:sinclair-user:050:https-sinclairuser-com-050-nemesis-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-050-https-sinclairuser-com-050-qlink-htm:person-s:programmer,s,person:s,game:a-new-lease-of-life-for-arcade-classics,A new lease of life for arcade classics,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/050/qlink.htm,source-item:sinclair-user:050:https-sinclairuser-com-050-qlink-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-sinclair-user-050-https-sinclairuser-com-050-scrable-htm:person-s:programmer,s,person:s,game:ql-scrabble,QL Scrabble,,,programmer,Programmer,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Sinclair User,https://sinclairuser.com/050/scrable.htm,source-item:sinclair-user:050:https-sinclairuser-com-050-scrable-htm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-2-by-symo-superior:person-symo:game-author,Symo,person:symo,game:2,2,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:2-by-symo-superior,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-3-oclock-one-morning-by-gary-and-audiogenics-product-manager:person-gary-and-audiogenics-product-manager:game-author,Gary and Audiogenic's Product Manager,person:gary-and-audiogenics-product-manager,game:3-oclock-one-morning,3 o'clock one morning,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:3-oclock-one-morning-by-gary-and-audiogenics-product-manager,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-a-shoot-em-up-written-by-richard:person-richard:game-author,Richard,person:richard,game:a-shoot-em-up-written,A shoot-em-up written,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:a-shoot-em-up-written-by-richard,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-adventures-by-andrew-hayes:person-andrew-hayes:game-author,Andrew Hayes,person:andrew-hayes,game:adventures,Adventures,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:adventures-by-andrew-hayes,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-ago-coded-by-peter-gillet-with-graphics-by-martin-kelsey-this:person-peter-gillet-with-graphics-by-martin-kelsey-this:game-author,"Peter Gillet with graphics by Martin Kelsey, this",person:peter-gillet-with-graphics-by-martin-kelsey-this,game:ago-coded,ago. Coded,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:ago-coded-by-peter-gillet-with-graphics-by-martin-kelsey-this,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-all-because-or-zorbicus-by-gary-partis-superior:person-gary-partis:game-author,Gary Partis,person:gary-partis,game:all-because-or-zorbicus,ALL BECAUSE or ZORBICUS,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:all-because-or-zorbicus-by-gary-partis-superior,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-and-the-weevils-by-john-grove-acornsoft:person-john-grove:game-author,John Grove,person:john-grove,game:and-the-weevils,AND THE WEEVILS,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:and-the-weevils-by-john-grove-acornsoft,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-and-was-released-by-superior-software:person-superior-software:game-author,Superior Software.,person:superior-software,game:and-was-released,and was released,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:and-was-released-by-superior-software,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-bobble-by-peter-gillett-firebird:person-peter-gillett:game-author,Peter Gillett,person:peter-gillett,game:bobble,BOBBLE,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:bobble-by-peter-gillett-firebird,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-by-gary-partis-revised-by-peter-scott-audiogenic:person-peter-scott:game-author,Peter Scott,person:peter-scott,game:by-gary-partis-revised,"by Gary Partis, revised",,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:by-gary-partis-revised-by-peter-scott-audiogenic,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-castles-by-peter-johnson-atarisoft:person-peter-johnson:game-author,Peter Johnson,person:peter-johnson,game:castles,CASTLES,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:castles-by-peter-johnson-atarisoft,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-coded-by-peter-scott-using-elements-of-his-cancelled-project:person-peter-scott-using-elements-of-his-cancelled-project:game-author,"Peter Scott using elements of his cancelled project,",person:peter-scott-using-elements-of-his-cancelled-project,game:coded,... coded,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:coded-by-peter-scott-using-elements-of-his-cancelled-project,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-comes-a-fun-little-machine-code-game-by-juan-richardson-that:person-juan-richardson-that:game-author,Juan Richardson that,person:juan-richardson-that,game:comes-a-fun-little-machine-code-game,comes a fun little machine code game,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:comes-a-fun-little-machine-code-game-by-juan-richardson-that,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-demo-by-rich-talbot-watkins-and-matt-godbolt:person-rich-talbot-watkins-and-matt-godbolt:game-author,Rich Talbot-Watkins & Matt Godbolt,person:rich-talbot-watkins-and-matt-godbolt,game:demo,(DEMO),,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:demo-by-rich-talbot-watkins-and-matt-godbolt,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-destroyers-ii-by-david-elliot-micropower:person-david-elliot:game-author,David Elliot,person:david-elliot,game:destroyers-ii,DESTROYERS II,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:destroyers-ii-by-david-elliot-micropower,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-due-to-be-released-by-atarisoft:person-atarisoft:game-author,Atarisoft,person:atarisoft,game:due-to-be-released,Due to be released,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:due-to-be-released-by-atarisoft,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-game-with-some-nice-music-and-was-considered-by-superior-i-seem:person-superior-i-seem:game-author,Superior I seem,person:superior-i-seem,game:game-with-some-nice-music-and-was-considered,game with some nice music and was considered,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:game-with-some-nice-music-and-was-considered-by-superior-i-seem,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-goes-jumping-by-paul-haigh-superior:person-paul-haigh:game-author,Paul Haigh,person:paul-haigh,game:goes-jumping,GOES JUMPING,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:goes-jumping-by-paul-haigh-superior,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-hop-by-ian-webster-bug-byte:person-ian-webster:game-author,Ian Webster,person:ian-webster,game:hop,HOP,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:hop-by-ian-webster-bug-byte,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-ii-adapted-by-m-beaton:person-m-beaton:game-author,M Beaton,person:m-beaton,game:ii-adapted,II adapted,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:ii-adapted-by-m-beaton,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-ii-by-david-braben-and-ian-bell-superior:person-david-braben-and-ian-bell:game-author,David Braben & Ian Bell,person:david-braben-and-ian-bell,game:ii,II,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:ii-by-david-braben-and-ian-bell-superior,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-ii-by-orlando:person-orlando:game-author,Orlando,person:orlando,game:ii,II,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:ii-by-orlando,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-in-production-eventually-picked-up-by-us-gold-some-two-years:person-us-gold-some-two-years:game-author,US Gold some two years,person:us-gold-some-two-years,game:in-production-eventually-picked-up,in production. Eventually picked up,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:in-production-eventually-picked-up-by-us-gold-some-two-years,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-it-was-indeed-released-by-mandarin:person-mandarin:game-author,Mandarin,person:mandarin,game:it-was-indeed-released,it was indeed released,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:it-was-indeed-released-by-mandarin,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-it-was-released-by-mandarin-software-however-ive-scanned-through:person-mandarin-software-however-ive-scanned-through:game-author,"Mandarin Software. However, I've scanned through",person:mandarin-software-however-ive-scanned-through,game:it-was-released,it was released,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:it-was-released-by-mandarin-software-however-ive-scanned-through,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-it-was-written-by-paul-proctor:person-paul-proctor:game-author,Paul Proctor,person:paul-proctor,game:it-was-written,It was written,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:it-was-written-by-paul-proctor,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-jump-style-game-which-was-to-be-published-by-bug-byte-before:person-bug-byte-before:game-author,Bug-Byte before,person:bug-byte-before,game:jump-style-game-which-was-to-be-published,jump style game which was to be published,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:jump-style-game-which-was-to-be-published-by-bug-byte-before,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-n-break-by-melvyn-garcia:person-melvyn-garcia:game-author,Melvyn Garcia,person:melvyn-garcia,game:n-break,N BREAK,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:n-break-by-melvyn-garcia,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-of-gems-by-paul-shave-mrm:person-paul-shave:game-author,Paul Shave,person:paul-shave,game:of-gems,OF GEMS,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:of-gems-by-paul-shave-mrm,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-of-khoronz-by-d-l-haslam:person-d-l-haslam:game-author,D L HASLAM,person:d-l-haslam,game:of-khoronz,OF KHORONZ,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:of-khoronz-by-d-l-haslam,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-or-dictator-by-stuart-cheshire-a-k-a-delos-d-harriman-go-dax:person-stuart-cheshire-a-k-a-delos-d-harriman:game-author,Stuart Cheshire a.k.a. Delos D Harriman,person:stuart-cheshire-a-k-a-delos-d-harriman,game:or-dictator,or DICTATOR,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:or-dictator-by-stuart-cheshire-a-k-a-delos-d-harriman-go-dax,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-or-jelton-by-gil-jaysmith-and-richard-broadhurst:person-gil-jaysmith-and-richard-broadhurst:game-author,Gil Jaysmith & Richard Broadhurst,person:gil-jaysmith-and-richard-broadhurst,game:or-jelton,or JELTON,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:or-jelton-by-gil-jaysmith-and-richard-broadhurst,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-pit-by-ron-merson-durell:person-ron-merson:game-author,Ron Merson,person:ron-merson,game:pit,PIT,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:pit-by-ron-merson-durell,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-pool-by-orlando-firebird:person-orlando:game-author,Orlando,person:orlando,game:pool,Pool,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:pool-by-orlando-firebird,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-produced-by-masik-on-the-cover-art-matthew-s-si-kilvington:person-masik-on-the-cover-art-matthew-s-si-kilvington:game-author,MASIK' on the cover art (MAtthew S + SI Kilvington).,person:masik-on-the-cover-art-matthew-s-si-kilvington,game:produced,'produced,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:produced-by-masik-on-the-cover-art-matthew-s-si-kilvington,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-questioned-by-micro-user-or-a-and-b-computing-over-what-he-was:person-micro-user-or-a-and-b-computing-over-what-he-was:game-author,Micro User or A&B Computing over what he was,person:micro-user-or-a-and-b-computing-over-what-he-was,game:questioned,questioned,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:questioned-by-micro-user-or-a-and-b-computing-over-what-he-was,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-raider-by-tony-sothcott-micropower:person-tony-sothcott:game-author,Tony Sothcott,person:tony-sothcott,game:raider,RAIDER,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:raider-by-tony-sothcott-micropower,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-repton-series-of-games-released-by-superior-and-thought-id:person-superior-and-thought-id:game-author,"Superior, and thought I'd",person:superior-and-thought-id,game:repton-series-of-games-released,Repton series of games released,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:repton-series-of-games-released-by-superior-and-thought-id,explicitly named in source metadata,A source credit does not establish employment status.
credit:source-item-stairway-lost-https-www-stairwaytohell-com-lostandfound-homepage-html-rescue-by-mike-wyatt:person-mike-wyatt:game-author,Mike Wyatt,person:mike-wyatt,game:rescue,Rescue,,,game author,Named game author,unspecified,not inferred from credit,Candidate / unresolved,Needs manual review,Stairway To Hell,https://www.stairwaytohell.com/lostandfound/homepage.html,source-item:stairway-lost:https-www-stairwaytohell-com-lostandfound-homepage-html:rescue-by-mike-wyatt,explicitly named in source metadata,A source credit does not establish employment status.
